type, side, size, x1, y1, x2, y2, x3, y3, x4, y4, x5, y5, x6, y6, x7, y7, x8, y8, x9, y9, x10, y10, x11, y11, x12, y12, x13, y13, x14, y14, x15, y15, x16, y16, x17, y17, x18, y18, x19, y19, x20, y20, x21, y21, x22, y22, x23, y23, x24, y24, x25, y25, x26, y26, x27, y27, x28, y28, x29, y29, x30, y30, x31, y31, x32, y32, x33, y33, x34, y34, x35, y35, x36, y36, x37, y37, x38, y38, x39, y39, x40, y40, x41, y41, x42, y42, x43, y43, x44, y44, x45, y45, x46, y46, x47, y47, x48, y48, x49, y49, x50, y50, x51, y51, x52, y52, x53, y53, x54, y54, x55, y55, x56, y56, x57, y57, x58, y58, x59, y59, x60, y60, x61, y61, x62, y62, x63, y63, x64, y64, x65, y65, x66, y66, x67, y67, x68, y68, x69, y69, x70, y70
Type06, L, 250, 54.987949, 250.167549, 52.426867, 249.785778, 46.678942, 249.379409, 38.843041, 245.006653, 32.373681, 238.530755, 27.772233, 230.935251, 24.361110, 222.995173, 21.954274, 214.800364, 20.387163, 206.696298, 19.374022, 197.861010, 18.335423, 189.943662, 17.282147, 181.145292, 15.717494, 172.660485, 14.257404, 164.461356, 12.381518, 155.626468, 10.666669, 147.638332, 8.617708, 138.991544, 7.041473, 132.025915, 4.950972, 123.137589, 3.336816, 115.221330, 1.943409, 106.346847, 0.757862, 98.046855, 0.113413, 89.789178, 0.000000, 81.935713, 0.030530, 73.295860, 1.095396, 64.988479, 2.298213, 56.427090, 4.379159, 48.337870, 6.930989, 40.034541, 10.208198, 32.104550, 13.981033, 24.012330, 18.696817, 16.544680, 24.489516, 9.143667, 31.592180, 3.580181, 39.971834, 0.252226, 48.381083, 0.000000, 56.588471, 1.763640, 64.453334, 6.860803, 69.958906, 14.220545, 73.756210, 21.754421, 77.245137, 29.911030, 79.605880, 38.010260, 81.521785, 46.473288, 82.850704, 55.061514, 83.778844, 63.620488, 84.425557, 71.938976, 84.698975, 79.958014, 84.234952, 88.277133, 83.456063, 96.993524, 81.936974, 104.969717, 80.928382, 113.510689, 80.073882, 122.289435, 79.627222, 129.599255, 79.518710, 138.518180, 79.495074, 147.197328, 79.987922, 155.835762, 80.313073, 163.928641, 81.098849, 172.525919, 81.858534, 180.545467, 82.459126, 189.526126, 83.617143, 197.434765, 84.322076, 206.642246, 84.724875, 214.932340, 84.000302, 222.917117, 82.314245, 231.133617, 78.253514, 239.053706, 71.667157, 245.618420, 63.221979, 248.949099, 58.091574, 250.078225, 54.441338, 249.788838
Type06, L, 270, 61.017341, 270.677906, 58.350965, 270.775516, 52.014827, 270.139260, 43.274854, 266.741752, 35.565605, 260.101624, 30.624550, 251.919316, 27.720967, 243.409551, 25.712877, 234.829901, 24.006347, 225.854528, 22.560907, 217.323629, 21.320277, 207.498993, 20.056196, 198.934080, 18.883043, 190.096345, 17.355326, 180.891056, 15.928100, 172.052825, 14.050670, 162.813737, 11.765395, 154.052694, 9.370012, 144.975801, 7.014637, 136.005653, 4.786893, 127.447172, 2.800417, 118.181791, 1.129163, 109.526045, 0.287694, 99.771476, 0.000000, 90.472951, 0.565655, 81.657561, 1.476946, 72.652653, 3.128669, 63.383184, 5.127997, 54.765392, 7.714486, 45.978639, 10.757678, 37.133049, 14.262080, 28.399098, 18.510769, 19.899110, 24.499913, 11.875417, 32.381387, 5.398161, 40.727869, 1.818070, 50.447325, 0.000000, 58.954899, 1.909173, 67.589169, 6.814044, 73.927409, 14.341232, 78.799584, 22.759650, 82.294069, 31.208244, 85.264006, 40.374460, 87.124745, 49.042596, 88.513478, 58.095367, 89.239858, 68.228678, 89.518005, 77.527366, 89.262359, 86.539227, 88.548021, 95.849774, 87.638070, 104.637948, 86.476930, 113.733734, 85.458848, 122.291057, 84.313309, 131.513355, 83.448326, 139.813797, 82.789623, 149.445997, 82.754636, 157.865658, 82.990818, 166.919719, 83.827903, 176.672698, 84.728064, 185.337045, 85.874513, 194.495446, 86.911177, 203.127903, 88.098723, 212.519562, 88.921306, 220.834582, 89.521927, 229.116107, 89.268998, 239.118924, 87.744383, 247.130329, 84.338401, 256.182366, 78.319168, 264.162320, 69.802325, 269.032699, 63.971334, 269.995228, 61.518905, 271.213602
Type06, L, 280, 64.033106, 280.546832, 61.327650, 280.505185, 54.659057, 279.886007, 45.928351, 276.668937, 37.402069, 270.274028, 31.562683, 261.808315, 28.321494, 252.740883, 26.184554, 243.752094, 24.601672, 234.400054, 23.359087, 225.491833, 22.073534, 215.321147, 21.222234, 206.256837, 19.897124, 196.878778, 18.534625, 188.169795, 16.724159, 177.658712, 14.962672, 169.216454, 12.965021, 160.328254, 10.492408, 150.994681, 8.121002, 141.372042, 5.497087, 131.666708, 3.515744, 122.934936, 1.528971, 113.336116, 0.363319, 104.075984, 0.000000, 94.973606, 0.568230, 84.947659, 1.927924, 75.999146, 3.413298, 66.698851, 5.490273, 57.273076, 7.425398, 48.219143, 10.102542, 39.727799, 13.616314, 30.622422, 18.018593, 21.889659, 24.244333, 13.700572, 31.598682, 6.724860, 40.409276, 2.222033, 49.836333, 0.000000, 59.572759, 1.333940, 68.406277, 6.697313, 75.459395, 14.111618, 81.020718, 22.849233, 84.603182, 31.400538, 87.710891, 40.846205, 89.528734, 49.353658, 91.012117, 58.663167, 91.896422, 67.925425, 92.612503, 77.219369, 92.720814, 86.922245, 92.428215, 95.478299, 91.701446, 105.615715, 90.468096, 114.566130, 89.295092, 123.954805, 87.924726, 133.466730, 87.000333, 143.037863, 86.203926, 152.778485, 86.319809, 161.315764, 86.523934, 170.837435, 87.082737, 179.564269, 87.961077, 189.851004, 88.940579, 198.839466, 89.958325, 208.197309, 90.914580, 218.024002, 91.994242, 227.055910, 92.616446, 236.877183, 92.626869, 245.960503, 91.432781, 255.848704, 88.227579, 264.561063, 82.293217, 273.167428, 73.885067, 279.053632, 67.464733, 279.728051, 63.882246, 281.325160
Type07, L, 250, 59.295637, 250.291577, 56.380440, 250.166511, 50.658689, 249.615916, 42.600647, 246.594917, 34.862002, 241.041040, 29.963155, 233.366411, 27.003265, 225.424911, 24.926660, 217.166997, 23.094978, 208.658924, 21.501010, 200.381049, 20.225039, 192.233528, 18.949232, 183.630442, 17.935720, 175.256838, 16.468110, 166.305162, 15.150138, 158.505665, 12.985504, 149.818572, 11.250290, 142.333093, 8.889461, 134.067334, 6.719508, 125.855620, 4.721835, 117.953705, 2.950610, 109.932988, 1.474651, 101.523642, 0.320076, 93.209428, 0.000000, 84.581723, 0.136500, 75.991727, 1.403286, 67.706005, 2.852915, 59.649734, 5.349931, 51.240644, 8.098493, 43.123484, 11.710653, 35.027664, 15.594135, 27.042355, 20.095529, 19.313794, 25.761394, 12.053265, 32.416280, 5.616932, 40.630273, 1.796955, 48.771772, 0.000000, 57.055039, 0.479761, 65.423131, 3.787269, 72.174183, 10.103695, 77.347816, 17.453293, 80.531149, 25.925503, 82.685686, 33.830353, 83.957928, 42.366313, 84.726136, 50.384364, 85.067154, 58.266944, 85.747275, 66.914203, 85.983869, 75.839334, 85.665859, 84.778367, 84.638139, 92.446400, 83.740363, 100.833653, 82.607288, 109.095877, 82.495872, 117.230128, 82.413082, 126.254347, 82.806829, 135.655202, 82.757808, 144.245144, 82.829988, 153.488698, 82.945596, 161.445609, 83.069479, 169.066400, 83.397142, 177.104557, 83.904606, 185.680649, 84.642646, 194.273360, 85.396583, 202.546049, 85.966540, 211.487522, 85.794560, 220.139640, 84.564488, 228.270318, 81.298845, 236.684668, 75.656231, 244.090248, 67.963034, 249.103501, 62.178417, 249.734502, 60.088898, 250.443044
Type07, L, 270, 61.666183, 270.507267, 58.698053, 270.616502, 52.848201, 269.908943, 44.281074, 266.521174, 36.492991, 259.448892, 31.602903, 251.286299, 28.137102, 242.092492, 26.011284, 233.947733, 24.677368, 223.727429, 23.800007, 215.011466, 22.815359, 206.737884, 21.436052, 197.990061, 19.920007, 188.497057, 18.177913, 179.452678, 16.365718, 170.350280, 14.413966, 161.880394, 12.522158, 152.401539, 10.184196, 143.953735, 8.194440, 134.822145, 6.136309, 126.500369, 3.785059, 116.909690, 2.096994, 108.515025, 0.381104, 98.790894, 0.000000, 89.431963, 0.438489, 80.407279, 1.994399, 71.742561, 4.170662, 62.664394, 6.970508, 54.257796, 10.218187, 45.185557, 13.692202, 36.689386, 17.709268, 28.001224, 22.640999, 19.812736, 28.704686, 11.884884, 36.532861, 5.321685, 44.909740, 1.759369, 54.143007, 0.000000, 63.602078, 1.305599, 72.163986, 4.234957, 79.301464, 11.841514, 82.903602, 20.502248, 85.427671, 29.295817, 87.555944, 38.337044, 89.389271, 47.079256, 90.561081, 56.775535, 90.996776, 65.637529, 90.947861, 74.418875, 90.344509, 83.418129, 90.050805, 92.049449, 89.306754, 101.524954, 89.101421, 110.510409, 88.683027, 119.483767, 88.423384, 128.599306, 88.495064, 137.608651, 88.510085, 147.181779, 88.688000, 156.116411, 88.954307, 165.698358, 89.313256, 174.705575, 89.801254, 183.598471, 90.117440, 193.212830, 90.513376, 201.928660, 90.786888, 210.347085, 91.039038, 219.874408, 91.018896, 229.667156, 90.552362, 238.598601, 89.447193, 247.634552, 85.576012, 256.336282, 79.294478, 264.082480, 70.566181, 269.172029, 65.214984, 269.913448, 61.583687, 270.299533
Type07, L, 280, 62.430067, 280.438357, 59.560657, 280.175560, 53.579634, 279.440438, 44.185981, 275.982125, 36.121963, 268.987530, 31.412728, 260.668361, 28.171675, 251.434864, 26.268062, 242.456536, 25.119896, 232.931824, 23.910727, 223.160845, 22.920187, 213.804777, 21.633743, 204.551187, 19.873690, 194.590648, 18.408979, 186.522401, 16.394271, 176.059850, 14.597449, 167.276049, 12.468362, 157.661854, 10.370495, 148.458049, 8.290281, 139.613299, 6.148989, 129.941532, 3.750635, 120.973475, 2.035271, 111.663941, 0.268752, 102.526309, 0.000000, 92.931715, 0.264389, 83.354959, 2.118125, 74.187924, 4.162965, 64.932749, 7.303881, 55.536448, 9.977263, 46.917574, 13.516275, 37.308374, 17.264172, 28.320027, 22.142998, 19.567372, 28.576520, 11.453741, 36.943963, 5.241127, 45.519495, 1.530251, 54.662979, 0.000000, 64.205148, 1.043392, 73.129301, 5.183867, 80.126845, 13.624883, 84.045830, 21.724769, 87.668994, 31.571774, 90.061486, 40.121213, 91.668950, 49.911946, 92.767152, 59.660918, 93.033867, 68.342969, 92.934780, 77.771487, 92.337145, 87.454735, 91.867467, 96.451091, 90.637481, 105.651235, 89.872277, 115.145886, 89.055080, 124.377737, 88.345740, 133.669384, 87.926922, 143.565830, 87.735255, 152.323241, 87.315815, 162.055312, 87.298522, 171.998999, 87.590105, 181.415752, 88.556787, 191.384713, 89.693934, 200.821458, 90.691583, 210.041925, 91.980364, 219.864145, 92.686894, 229.045910, 92.967618, 238.909902, 92.910866, 247.615518, 91.237547, 257.401773, 87.857219, 266.656464, 81.161847, 274.746685, 72.417879, 279.487042, 65.755289, 279.841667, 62.301458, 280.976406
Type00, L, 240, 58.508172, 240.285927, 55.750045, 240.219807, 50.784376, 240.079616, 42.680372, 236.868744, 35.586134, 231.859548, 29.503667, 224.902832, 26.624338, 217.192696, 24.615344, 208.916393, 23.704299, 201.064429, 22.906531, 192.515844, 22.209767, 184.745534, 21.136115, 177.223467, 19.814761, 168.768519, 18.124899, 160.852637, 16.369338, 153.171025, 14.717164, 145.298374, 12.382357, 137.309960, 10.571684, 129.251268, 8.400373, 121.383382, 6.217237, 113.271195, 4.223057, 105.011174, 2.598704, 97.852448, 1.082646, 89.995877, 0.000000, 81.739478, 0.115895, 73.331302, 1.376780, 64.715822, 3.146354, 57.172657, 5.694951, 48.865816, 8.231567, 41.371350, 11.211702, 33.466013, 14.603307, 25.558627, 18.761936, 18.150961, 24.131460, 11.098293, 30.869221, 5.360581, 38.548456, 1.775935, 46.663439, 0.000000, 54.085155, 0.499183, 62.068454, 3.034742, 69.227832, 8.415139, 74.352791, 15.418827, 77.641442, 23.356677, 80.205212, 31.414293, 81.900831, 39.556308, 83.168898, 47.226046, 84.743028, 55.995156, 85.067506, 63.979668, 84.541387, 72.512315, 83.897331, 79.881226, 83.102446, 87.788487, 82.558487, 95.186268, 82.173632, 103.378821, 82.164702, 111.735653, 82.073713, 119.925873, 82.435834, 128.076851, 82.844418, 136.661245, 83.515767, 144.769334, 84.054317, 152.704696, 84.657000, 161.520384, 84.997378, 169.232229, 84.991341, 176.994520, 84.542660, 185.308539, 83.706055, 192.595239, 82.507905, 201.455327, 81.833889, 209.540748, 81.171056, 217.840566, 78.767787, 225.828680, 73.501811, 233.059457, 66.684577, 238.820032, 61.344092, 239.588972, 58.380242, 240.583319
Type00, L, 245, 59.408673, 245.343316, 56.503502, 245.310148, 50.693202, 244.598217, 42.854372, 240.922597, 36.609220, 234.196454, 32.330470, 226.712590, 28.629695, 218.805261, 25.938193, 211.101770, 23.712005, 202.554459, 21.924413, 194.179250, 20.277078, 185.850331, 18.877563, 178.088932, 17.305634, 170.205835, 15.524792, 161.989026, 13.768682, 153.989290, 12.059346, 145.774206, 10.109454, 137.866290, 8.385637, 129.704585, 6.575041, 121.994444, 4.875372, 113.815291, 3.003605, 105.584432, 1.387815, 96.612153, 0.239093, 89.084356, 0.000000, 80.605051, 0.301208, 72.398773, 1.463813, 64.065432, 3.284773, 56.120114, 5.248923, 48.009660, 8.191328, 39.726495, 11.199307, 31.651768, 15.081062, 23.797704, 19.770626, 16.307173, 25.354883, 9.435615, 32.907721, 4.129637, 40.510080, 0.886930, 48.816406, 0.000000, 57.052455, 0.996110, 65.295269, 4.171757, 72.043754, 10.485395, 75.859304, 18.207051, 78.824615, 25.934470, 80.911380, 33.932092, 82.841679, 42.157720, 84.573617, 50.200732, 85.364474, 58.452248, 85.886996, 66.802631, 85.713868, 74.633598, 85.253044, 82.939057, 84.633365, 91.454184, 83.671154, 99.056717, 82.978912, 108.127148, 82.323750, 116.581649, 82.265846, 124.602541, 82.720928, 133.035699, 83.624931, 140.937008, 84.894978, 149.081266, 85.797505, 157.353375, 85.731188, 165.577151, 85.502407, 173.575891, 85.096968, 182.331191, 84.918784, 190.149581, 84.797120, 198.520013, 84.586688, 207.063474, 84.222748, 215.342313, 83.185131, 223.830338, 80.404162, 231.734051, 75.391661, 239.380612, 67.606698, 244.180094, 62.484969, 244.897343, 58.675101, 245.628842
Type00, L, 255, 61.634861, 255.455581, 58.962299, 255.511656, 53.425825, 255.097527, 45.103427, 251.590593, 37.868053, 246.085304, 31.831674, 238.972506, 28.766280, 230.406701, 26.711963, 221.658570, 25.815710, 212.737159, 24.618297, 204.515443, 23.325020, 195.617661, 22.311498, 187.020217, 20.585059, 178.792206, 19.416076, 170.095913, 17.614315, 160.946295, 16.084011, 152.628987, 14.421165, 144.154716, 11.938772, 135.229430, 9.313498, 126.627240, 6.828068, 118.355707, 4.246718, 110.125303, 2.359738, 101.408758, 0.432092, 92.860922, 0.000000, 84.251770, 0.270561, 75.880911, 1.478341, 67.820012, 3.121268, 59.054080, 5.100076, 50.800525, 7.382723, 42.404785, 10.290153, 34.309926, 13.958350, 26.049363, 18.386765, 18.202646, 24.164598, 10.887139, 31.301541, 4.659540, 39.559087, 1.352407, 48.269884, 0.000000, 56.861230, 1.645886, 64.703941, 5.243847, 71.991004, 11.777992, 76.867202, 19.216324, 80.540870, 27.357305, 82.782108, 35.739077, 85.051000, 44.413090, 86.372010, 53.174910, 87.119165, 61.563370, 87.361596, 70.600346, 86.556018, 78.921595, 85.357650, 87.777355, 84.102533, 96.429783, 82.811646, 104.478699, 81.916621, 112.960915, 81.123803, 121.206231, 80.532937, 129.524866, 80.810474, 138.634949, 81.315154, 146.959987, 82.348484, 155.190043, 83.124830, 163.945818, 84.305777, 172.042083, 84.791706, 180.538765, 85.248740, 188.766663, 85.510862, 197.605708, 85.951236, 206.245463, 86.886553, 214.809200, 87.535545, 223.432448, 86.614884, 232.314833, 83.556650, 240.527476, 77.586761, 248.101311, 70.085411, 253.471317, 64.440672, 254.799394, 61.664320, 255.713673
Type00, L, 265, 68.364120, 264.608481, 65.631585, 265.338186, 59.446910, 265.302913, 50.504700, 263.377655, 42.264936, 258.837987, 35.483457, 251.594115, 31.372954, 243.066863, 28.811427, 234.575122, 26.507622, 225.068243, 24.643690, 216.179369, 23.301983, 207.397646, 21.533361, 198.182022, 20.193442, 189.713288, 18.364629, 180.674535, 17.010617, 171.622253, 15.034521, 163.038580, 13.097234, 154.090341, 10.666912, 144.892625, 8.490102, 136.254070, 6.096084, 127.315555, 4.189137, 118.110415, 2.379980, 109.714022, 0.945293, 100.591053, 0.289383, 91.557744, 0.000000, 82.884545, 0.730578, 73.807538, 2.103994, 64.968606, 4.233360, 56.258522, 6.739560, 47.922762, 10.206753, 39.023486, 13.878797, 30.909643, 18.106954, 22.721382, 23.281820, 14.452787, 29.438457, 7.709201, 37.528704, 2.453567, 46.594517, 0.181472, 55.700228, 0.000000, 64.356905, 2.540576, 72.356822, 8.474054, 78.088835, 16.317485, 82.211519, 24.426183, 85.321474, 33.341056, 87.409957, 42.040774, 89.494281, 51.167080, 90.761241, 59.770869, 92.031378, 68.662996, 92.112410, 77.958768, 91.267720, 86.820407, 89.610464, 95.431178, 87.749293, 104.059154, 86.629184, 113.911842, 86.102647, 122.491091, 86.074859, 131.504626, 86.688592, 140.705029, 87.250564, 149.315028, 88.300674, 158.203067, 88.813880, 167.088654, 89.536715, 175.805763, 89.465460, 185.032522, 90.552692, 193.257740, 91.186796, 202.390178, 91.767781, 210.963397, 92.029096, 220.074778, 91.820879, 229.114686, 90.898693, 238.685164, 88.647237, 246.829745, 84.383786, 255.183317, 77.398402, 262.297464, 71.130371, 263.822055, 68.798790, 265.031342
Type00, L, 270, 64.259265, 270.492079, 67.547692, 270.368426, 73.420554, 268.442058, 81.689613, 262.659378, 86.835010, 254.004983, 89.525245, 245.605433, 90.666213, 235.782159, 90.781251, 227.183827, 90.174655, 218.275002, 89.472272, 209.017690, 88.931498, 199.657023, 88.605136, 190.799348, 88.228104, 182.077173, 87.959980, 173.196465, 87.395981, 164.281195, 87.124600, 155.449289, 86.384564, 145.908880, 85.855036, 136.764417, 85.355542, 128.449859, 85.223893, 118.871597, 85.284600, 110.886342, 86.213640, 100.886300, 87.690646, 92.166871, 89.148214, 84.292619, 90.635949, 74.508876, 90.895454, 65.581800, 89.863552, 56.846762, 88.268506, 47.566150, 85.558823, 38.629357, 82.655147, 29.506851, 78.911831, 20.944461, 74.698684, 12.470789, 66.986433, 5.213061, 58.828271, 1.393388, 50.040068, 0.000000, 40.403996, 2.051743, 32.297089, 5.983813, 24.304792, 12.816080, 18.802100, 20.716585, 14.324845, 29.443978, 10.778894, 37.879661, 7.468457, 46.852828, 4.485769, 55.637607, 2.431283, 64.105931, 1.006062, 71.569048, 0.012322, 81.544862, 0.000000, 89.302212, 0.819730, 98.673767, 1.953378, 107.630385, 3.755459, 116.113315, 5.997223, 125.184777, 8.407301, 133.991436, 10.924170, 142.883441, 13.584603, 151.918322, 15.970470, 160.695271, 18.486595, 170.089793, 20.680305, 179.227360, 22.577188, 188.223169, 24.341447, 196.847672, 25.763780, 205.458165, 27.355713, 214.756042, 28.328134, 223.532812, 30.071524, 233.165659, 31.874210, 241.950243, 35.198056, 250.878564, 39.707797, 259.358059, 47.114850, 266.619987, 55.961808, 269.825212, 61.577758, 270.850957, 64.884787, 270.140113
Type00, L, 275, 62.100320, 275.534395, 59.037432, 275.310168, 53.027211, 274.462169, 44.489934, 269.760794, 36.952938, 262.660475, 32.395455, 253.952813, 29.213050, 245.649484, 27.318805, 236.160269, 25.953662, 227.875568, 24.609068, 217.634828, 23.570055, 209.407084, 22.076729, 199.484680, 20.603145, 191.062850, 18.686078, 182.076991, 16.656335, 172.769339, 14.543433, 163.622903, 12.446196, 154.329520, 10.335380, 145.739022, 8.265909, 136.550826, 6.073602, 127.299965, 4.265464, 118.391139, 2.477170, 109.162813, 0.992658, 100.080891, 0.084750, 90.848238, 0.000000, 81.428742, 1.133426, 72.112651, 3.123071, 63.162898, 5.738427, 54.305321, 9.071935, 44.981245, 12.517523, 36.094372, 16.490178, 27.181584, 20.943022, 18.662089, 27.282784, 10.732144, 35.310259, 4.606280, 44.022219, 1.405729, 53.700587, 0.000000, 62.863488, 1.999750, 71.542402, 6.562311, 78.469645, 14.302207, 82.982329, 22.910253, 86.188385, 31.522817, 88.867759, 40.514622, 90.693404, 49.495585, 92.135295, 58.934287, 93.496482, 67.707389, 93.920771, 77.112617, 93.671347, 86.543506, 92.813100, 95.762780, 91.587516, 105.015069, 90.497259, 114.144601, 89.491001, 123.356391, 89.653522, 132.513307, 90.165819, 141.487735, 91.628800, 150.893044, 92.622870, 160.297296, 93.430921, 169.543031, 93.678619, 179.029791, 93.732839, 187.810947, 93.700302, 197.599203, 93.620414, 206.000312, 93.600934, 215.651831, 93.953860, 224.677789, 93.680076, 233.881007, 92.656705, 243.323242, 90.364936, 252.865173, 86.391237, 261.629115, 80.344533, 269.795576, 71.325029, 274.325709, 65.515594, 275.348582, 62.487106, 275.330308
Type01, L, 230, 45.871850, 230.452038, 43.332338, 230.188145, 38.231220, 229.603747, 31.033275, 226.589654, 24.003976, 221.120031, 19.745768, 213.807184, 17.459802, 206.488338, 15.844015, 198.473965, 14.618758, 190.879418, 13.766634, 182.904979, 12.769451, 175.311525, 11.959426, 167.389921, 11.125251, 160.308830, 10.272548, 151.761836, 9.120258, 144.510764, 8.055691, 136.568554, 6.702988, 129.028635, 5.459278, 121.332728, 4.015143, 113.537487, 2.656314, 106.081605, 1.502323, 98.015597, 0.502151, 89.927311, 0.000000, 81.980184, 0.199998, 73.314253, 0.626943, 66.106144, 1.764611, 58.236009, 2.861532, 50.966824, 5.210608, 43.348188, 7.079420, 35.911932, 10.086403, 28.613217, 13.231587, 21.123320, 17.567654, 14.164771, 23.165480, 7.725287, 30.456979, 3.187206, 37.757886, 0.936502, 45.619319, 0.000000, 53.429835, 2.321382, 60.420738, 6.945897, 65.858574, 13.507213, 70.285830, 20.386146, 73.297336, 28.084028, 75.455444, 35.066503, 76.984515, 43.099738, 77.697283, 50.409883, 78.236645, 58.923614, 78.232937, 66.438167, 78.319137, 75.536005, 78.241638, 82.630032, 78.063544, 90.881236, 78.044575, 97.855563, 77.999758, 106.067622, 78.059073, 112.880683, 78.253307, 120.643195, 78.343600, 128.113730, 78.082179, 136.341605, 77.857638, 143.344475, 77.079034, 151.481331, 76.303008, 159.306720, 75.657740, 166.802594, 75.484861, 174.303765, 75.201235, 182.166491, 74.998525, 189.449936, 74.557338, 197.891246, 73.321299, 205.215443, 71.647975, 213.139167, 67.500761, 220.467514, 61.243218, 225.980608, 53.714624, 229.216409, 48.419705, 230.374639, 45.299235, 229.757382
Type01, L, 240, 53.275426, 240.407274, 50.767333, 240.306366, 45.531162, 240.169947, 37.370515, 237.464597, 30.276825, 233.046085, 24.521723, 226.185331, 21.496241, 218.323432, 19.641988, 210.206797, 18.483402, 202.219732, 17.497245, 193.683775, 16.905423, 185.945858, 16.131711, 178.183793, 14.698200, 169.443490, 13.735917, 161.826684, 11.763730, 153.290708, 10.464613, 145.548051, 8.515475, 137.343830, 7.270130, 129.676517, 5.188479, 121.184444, 4.147362, 113.662936, 2.470613, 105.044743, 1.636811, 97.323286, 0.498686, 88.931169, 0.055925, 80.381794, 0.000000, 72.018582, 0.422636, 64.061765, 1.232977, 55.914487, 2.943389, 47.883243, 4.691213, 40.165860, 7.647173, 32.286259, 11.002797, 24.709105, 15.236369, 17.005879, 20.400959, 10.372304, 27.251795, 4.518967, 35.063155, 1.398963, 42.958222, 0.000000, 50.608487, 1.141289, 58.690239, 4.624804, 65.511077, 10.092825, 71.047568, 17.015363, 74.778036, 24.623320, 77.441393, 32.437798, 79.155318, 40.825928, 80.084003, 49.212814, 80.269542, 56.391955, 80.330388, 64.819552, 79.988874, 72.254591, 79.850858, 80.681388, 79.719065, 89.927235, 79.784641, 96.890993, 79.800760, 105.921907, 79.810956, 114.711974, 79.838491, 121.653836, 80.120850, 131.356025, 80.083608, 138.696416, 80.320554, 146.624984, 80.247714, 155.396069, 80.330412, 162.812346, 80.205965, 170.735534, 80.160429, 180.155626, 79.989956, 186.766786, 79.654468, 195.585289, 79.238325, 203.613284, 78.439606, 211.959451, 76.920531, 219.968192, 73.585361, 227.573765, 68.568394, 234.504389, 61.336093, 239.168854, 55.616910, 239.846509, 53.445841, 240.794909
Type01, L, 250, 51.507325, 250.180580, 48.722403, 250.018426, 43.176549, 250.043414, 35.022076, 246.113531, 28.303927, 240.159220, 23.859124, 231.932027, 20.630728, 224.119021, 18.306716, 215.322420, 16.929545, 207.663505, 15.888826, 199.162039, 15.181074, 190.368205, 14.311664, 181.808506, 13.475990, 173.078492, 12.094865, 164.918084, 10.649703, 156.556549, 9.253881, 148.460556, 7.418025, 140.021896, 5.739552, 130.984007, 4.172580, 123.077773, 2.969299, 114.816957, 1.542185, 106.396094, 0.754854, 97.667723, 0.248311, 89.610795, 0.000000, 81.056218, 0.367797, 72.530174, 1.004082, 64.571450, 2.302644, 56.135762, 3.869551, 48.002375, 6.124524, 39.648305, 8.936561, 31.629264, 12.475040, 23.282869, 17.223172, 15.758785, 23.606740, 8.556614, 31.112005, 3.726534, 39.436882, 0.436346, 48.123908, 0.000000, 56.288127, 1.732777, 64.189245, 6.297187, 70.854062, 12.670322, 75.317109, 20.408725, 78.120734, 28.355541, 80.065038, 36.469352, 81.554816, 45.189299, 82.156698, 53.461560, 82.608709, 62.284679, 82.707417, 70.018112, 82.636407, 79.484649, 82.283054, 87.377512, 82.016653, 95.457187, 82.031631, 103.173985, 81.936240, 111.158842, 81.915888, 119.466331, 82.014579, 128.984938, 82.074192, 136.560854, 82.209657, 145.529731, 82.277140, 153.971061, 82.544344, 162.778347, 82.599395, 171.862348, 82.704805, 179.285365, 82.630535, 188.407853, 82.735231, 197.339566, 82.450639, 206.008083, 82.382307, 214.507944, 81.064413, 223.132941, 79.426158, 231.163503, 75.256092, 239.578740, 68.273485, 245.610877, 59.989790, 248.961486, 54.481893, 250.036663, 51.533247, 249.886736
