type, side, size, x1, y1, x2, y2, x3, y3, x4, y4, x5, y5, x6, y6, x7, y7, x8, y8, x9, y9, x10, y10, x11, y11, x12, y12, x13, y13, x14, y14, x15, y15, x16, y16, x17, y17, x18, y18, x19, y19, x20, y20, x21, y21, x22, y22, x23, y23, x24, y24, x25, y25, x26, y26, x27, y27, x28, y28, x29, y29, x30, y30, x31, y31, x32, y32, x33, y33, x34, y34, x35, y35, x36, y36, x37, y37, x38, y38, x39, y39, x40, y40, x41, y41, x42, y42, x43, y43, x44, y44, x45, y45, x46, y46, x47, y47, x48, y48, x49, y49, x50, y50
Type06, L, 270, 61.085028, 271.078605, 57.064552, 271.072271, 48.192775, 270.121184, 36.184057, 261.952315, 29.355971, 249.971786, 26.303902, 237.734651, 23.791289, 225.390602, 21.882682, 212.252252, 20.184212, 199.341517, 18.328816, 186.894677, 16.257086, 173.790608, 13.636553, 161.060132, 10.153302, 148.200328, 6.801326, 135.564554, 3.689904, 122.899744, 1.145862, 110.294744, 0.000000, 96.418919, 0.338224, 83.764120, 1.784255, 70.838991, 4.378583, 57.951634, 7.874024, 45.722701, 12.516679, 32.925230, 17.882503, 20.845717, 27.009625, 9.190089, 38.937532, 2.325504, 52.270770, 0.000000, 64.827184, 4.499675, 74.811481, 15.214031, 80.723374, 27.106208, 85.230416, 40.041260, 87.805184, 52.212678, 89.267747, 66.254598, 89.634008, 79.742481, 88.977340, 92.595354, 87.625519, 105.570621, 86.041351, 118.120454, 84.495653, 130.723133, 83.141011, 143.361377, 82.671637, 156.187991, 83.102962, 168.828860, 84.391276, 182.570398, 85.886610, 194.664845, 87.524636, 208.013379, 88.950608, 220.022063, 89.747824, 232.503547, 88.650981, 245.602713, 84.164750, 257.692840, 74.031293, 268.898408, 64.974677, 269.894078, 61.652736, 271.661212
Type06, L, 280, 64.191747, 281.259316, 59.905030, 281.101108, 51.102665, 280.172251, 38.289357, 272.524400, 30.119951, 260.031183, 26.829986, 247.090039, 24.498243, 234.114191, 22.728032, 220.734336, 21.297953, 206.677335, 19.589321, 194.497385, 17.165677, 180.087086, 14.656357, 167.561065, 11.491576, 154.982249, 7.866797, 140.764088, 4.454093, 127.803387, 1.697530, 114.437331, 0.000000, 101.446354, 0.434505, 87.538146, 2.248777, 74.553886, 4.858697, 61.112085, 7.663234, 48.175702, 11.740317, 35.874694, 17.598576, 23.013068, 26.609147, 11.359017, 38.363900, 3.245166, 52.063168, 0.000000, 65.732591, 4.462297, 76.383736, 15.382045, 83.247322, 27.614776, 87.640754, 40.638730, 90.340011, 53.212806, 91.887695, 66.336330, 92.861121, 79.989210, 92.782878, 92.842642, 91.826181, 106.529567, 90.018368, 119.681940, 88.232333, 133.024530, 86.649459, 147.018505, 86.269030, 160.048264, 86.699018, 172.648864, 87.616394, 186.438479, 89.123917, 199.835693, 90.454565, 213.207490, 92.017186, 226.834578, 92.955683, 240.097897, 92.333776, 253.875841, 88.156986, 266.748347, 78.146092, 278.464097, 68.948292, 280.564588, 64.118985, 281.372867
Type07, L, 250, 59.344721, 250.725763, 55.049763, 250.536849, 47.395454, 249.543329, 35.505015, 242.820920, 28.669160, 231.614723, 25.545785, 220.184964, 22.839468, 207.951334, 20.773727, 196.332897, 19.051122, 184.407557, 17.432930, 171.954971, 15.411442, 160.087213, 12.661973, 148.363820, 9.765650, 137.297209, 6.432475, 125.303528, 3.788086, 114.279643, 1.450754, 102.304585, 0.044392, 90.446231, 0.000000, 77.923305, 1.578088, 66.313387, 4.315505, 54.532112, 8.398291, 42.837768, 13.570456, 31.301313, 19.718957, 20.246288, 27.717207, 9.645190, 38.808093, 2.368730, 50.515647, 0.000000, 62.623073, 2.084107, 73.037211, 10.660743, 79.381533, 21.987864, 82.658099, 33.661048, 84.451495, 45.609832, 84.979999, 56.793585, 85.923561, 68.823938, 86.014523, 82.138088, 84.730020, 93.166328, 83.125627, 105.283450, 82.316173, 116.553663, 82.645862, 129.811880, 82.848319, 142.509946, 82.853934, 155.452826, 83.039870, 166.407579, 83.385941, 177.550893, 84.217342, 190.104172, 85.390749, 201.808729, 86.148750, 214.648467, 85.391214, 226.466496, 81.104229, 238.378117, 71.748910, 248.516649, 63.354469, 250.209117, 59.922228, 250.636873
Type07, L, 270, 61.744879, 270.535074, 57.458982, 270.571428, 49.295627, 269.472457, 37.149496, 261.241706, 30.297298, 248.457320, 26.435943, 236.648843, 24.563029, 222.499737, 23.439744, 210.439433, 21.577883, 198.339326, 19.352787, 184.699542, 16.704889, 171.993533, 14.118483, 159.479250, 10.971928, 146.415192, 8.079164, 134.290111, 4.938196, 121.328571, 2.063030, 108.843008, 0.000000, 95.156044, 0.207664, 82.101420, 2.376404, 69.601915, 5.956946, 57.064094, 10.513197, 44.606573, 15.637864, 32.153342, 22.069296, 20.321154, 31.266433, 8.927717, 43.050656, 1.688575, 56.207814, 0.000000, 69.530174, 2.119978, 80.178208, 11.966320, 84.328998, 25.002536, 87.524030, 37.359013, 90.051420, 50.449716, 91.176356, 63.706738, 90.904095, 76.175452, 90.230484, 88.706564, 89.414659, 101.846878, 88.978155, 114.804326, 88.461936, 127.496985, 88.567025, 140.779596, 88.670288, 153.821446, 89.059277, 167.374915, 89.668811, 179.820291, 90.246846, 193.570762, 90.683330, 205.548165, 91.168304, 218.506349, 90.991153, 232.586779, 90.313989, 245.033240, 85.498799, 257.875256, 74.699873, 268.033718, 66.187579, 270.083157, 62.182027, 270.060819
Type07, L, 280, 62.565081, 280.858124, 58.522239, 280.430200, 49.664756, 279.432736, 36.752358, 271.052677, 30.238427, 258.452691, 26.722663, 245.681270, 25.065966, 232.040447, 23.531255, 218.448867, 21.830258, 204.872136, 19.439067, 191.856019, 16.970022, 178.574010, 14.207311, 165.029428, 11.143113, 151.823361, 8.279811, 138.957824, 4.968189, 125.496279, 2.060748, 112.580965, 0.000000, 99.347012, 0.197589, 85.489251, 2.436979, 72.523463, 6.310997, 59.040072, 10.412383, 46.527203, 15.417920, 32.969063, 21.533973, 20.500997, 31.402041, 8.896700, 43.860723, 2.150959, 56.626985, 0.000000, 70.596429, 2.995099, 80.924491, 14.093942, 86.063151, 27.043725, 90.305836, 39.791367, 92.271473, 53.806504, 93.382634, 66.759069, 92.896265, 79.990426, 92.329158, 93.573784, 90.755003, 106.374167, 89.637605, 119.949983, 88.471872, 133.099522, 88.013110, 146.840484, 87.589257, 159.754400, 87.284990, 174.080959, 88.225492, 187.718961, 89.808515, 201.506427, 91.448450, 214.729307, 92.861355, 228.516093, 93.269241, 241.859238, 92.397837, 254.916867, 87.665046, 268.764105, 76.754876, 279.130596, 67.329653, 280.316829, 62.482185, 280.983367
Type00, L, 240, 58.701588, 240.601535, 54.925246, 240.721876, 47.555980, 239.741869, 36.390012, 233.312257, 28.303789, 223.352829, 25.278288, 211.714414, 23.669464, 200.305492, 22.808914, 188.310585, 21.460021, 177.855981, 19.374078, 165.693167, 16.924098, 154.866192, 14.356048, 143.661671, 11.264345, 132.063946, 8.493997, 121.016178, 5.180598, 108.978360, 2.908710, 98.452803, 0.614205, 87.380452, 0.000000, 75.143897, 1.819392, 63.319922, 4.916539, 52.041965, 8.683412, 40.991376, 12.959409, 29.723135, 18.486958, 18.849155, 26.352539, 8.876830, 37.062573, 2.282703, 48.487141, 0.000000, 59.270703, 1.677078, 70.363434, 8.822208, 76.430056, 19.493089, 80.427082, 31.179002, 82.457753, 42.406138, 84.748643, 54.089814, 85.411959, 66.200285, 84.301270, 77.490364, 83.322506, 88.332825, 82.467167, 99.147200, 82.335892, 111.336002, 82.318100, 122.662893, 82.937130, 134.977809, 83.791033, 146.257727, 84.644887, 158.409776, 85.296380, 169.741713, 85.106443, 181.102767, 84.131434, 192.060058, 82.281560, 204.165931, 81.894432, 215.919455, 78.880241, 227.391413, 70.021413, 237.467490, 62.875020, 240.303181, 58.521634, 240.248450
Type00, L, 245, 59.442618, 245.524504, 55.314582, 245.399516, 46.995748, 244.228191, 37.141752, 235.767428, 31.154685, 224.600164, 26.515769, 213.686479, 23.513675, 201.738435, 20.949364, 189.581590, 18.977574, 178.433532, 16.647220, 167.118267, 14.101576, 155.440275, 11.612042, 143.978258, 8.916042, 132.465132, 6.466769, 121.260118, 3.937055, 109.780389, 1.332045, 97.160837, 0.000000, 86.149866, 0.070983, 74.027783, 1.828112, 62.378980, 4.490937, 51.011371, 8.302981, 39.172337, 13.033243, 27.744362, 19.204664, 16.825542, 27.757173, 7.185795, 39.011341, 1.102773, 50.403691, 0.000000, 62.660984, 2.277729, 72.794593, 10.887522, 77.552171, 22.215632, 80.843352, 33.343520, 83.599165, 45.088964, 85.436257, 56.669372, 85.958164, 68.488918, 85.561028, 79.847113, 84.611550, 91.885127, 83.355352, 103.256395, 82.340707, 116.078182, 82.307570, 127.382219, 83.281271, 139.225468, 85.263492, 150.546976, 86.000573, 162.497300, 85.465076, 173.976924, 85.024883, 186.106407, 84.846472, 197.465135, 84.585392, 209.783365, 83.831851, 221.616774, 80.373180, 233.284330, 71.550993, 243.471875, 63.352962, 245.035148, 59.380032, 245.603470
Type00, L, 255, 61.687821, 255.589908, 57.871810, 255.788758, 49.827411, 254.450801, 38.552412, 247.460933, 30.438734, 237.042123, 27.168436, 224.328769, 25.692865, 211.861942, 23.983334, 199.869193, 22.279939, 187.166848, 20.231887, 175.742679, 17.993201, 162.462554, 15.809875, 150.726936, 12.951391, 138.254114, 9.060840, 125.745708, 5.470239, 114.254757, 2.293869, 101.963650, 0.000000, 89.660623, 0.097613, 77.596337, 1.772716, 65.978907, 4.429693, 53.602670, 7.519827, 41.970497, 12.015740, 30.136860, 17.912167, 18.821351, 26.393048, 8.210570, 37.665311, 1.420787, 50.268084, 0.000000, 62.117226, 3.326190, 72.670953, 12.083900, 79.133414, 23.286977, 82.786205, 35.078802, 85.749949, 47.605489, 87.135889, 59.769498, 87.476753, 72.286013, 85.911739, 84.497322, 84.052591, 96.956700, 82.372754, 108.564618, 81.209511, 120.434581, 80.460063, 132.538357, 81.232591, 145.156602, 82.417279, 156.748329, 83.942480, 169.075235, 84.959340, 180.685969, 85.419928, 192.810300, 85.812920, 205.392498, 87.317076, 217.394787, 87.531902, 230.087629, 83.331153, 242.019743, 73.604478, 252.254333, 65.765044, 254.845328, 61.632646, 255.644755
Type00, L, 265, 68.457790, 265.044006, 64.477336, 265.991416, 55.575729, 265.460666, 43.293783, 260.752602, 33.655786, 249.712400, 29.595710, 237.702216, 26.202804, 224.289715, 23.966815, 211.824836, 21.779704, 198.806154, 19.504186, 186.647796, 17.295888, 173.428100, 14.761693, 161.387044, 11.577550, 148.089171, 8.234850, 135.870489, 5.111239, 122.688815, 2.463054, 110.518499, 0.606528, 97.481349, 0.000000, 84.985493, 0.900912, 72.138970, 3.444264, 59.612487, 7.013929, 47.533453, 12.071765, 35.188475, 17.789877, 23.686107, 25.160110, 12.013787, 35.454591, 3.392772, 48.750954, 0.000000, 61.408016, 1.047709, 73.241303, 9.066041, 80.595201, 20.674385, 85.252864, 32.811511, 88.332558, 45.679462, 90.693608, 58.220310, 92.331719, 70.726739, 91.998701, 84.179207, 89.600030, 95.908121, 87.076163, 109.185111, 86.128171, 122.131920, 86.243588, 134.836639, 87.224103, 147.660691, 88.415431, 160.079145, 89.450467, 172.744487, 89.587640, 185.518861, 91.000802, 197.694779, 91.808157, 210.450082, 92.210189, 222.941798, 91.513871, 236.687573, 88.628799, 248.534159, 81.339271, 260.442924, 72.525618, 264.524752, 68.648336, 264.808778
Type00, L, 270, 64.559242, 270.809346, 68.959423, 270.499365, 77.895062, 267.250468, 87.085798, 255.917565, 90.389120, 243.173231, 91.293399, 229.787135, 90.334277, 217.676733, 89.392887, 203.949420, 88.836926, 191.307397, 88.436234, 178.789031, 87.787178, 166.178491, 87.249596, 153.331409, 86.201672, 139.934232, 85.640027, 127.459201, 85.308728, 115.134657, 86.355243, 101.593872, 88.462332, 89.539113, 90.839983, 76.962862, 91.235021, 63.638777, 89.226077, 51.271920, 85.823266, 37.912891, 81.079834, 25.506526, 75.684315, 13.020602, 64.462811, 3.190443, 52.291906, 0.000000, 38.824683, 2.447566, 27.110626, 10.038897, 18.325120, 21.620237, 12.811134, 33.858397, 7.927183, 46.246235, 3.791050, 59.181985, 1.525827, 69.986451, 0.000000, 83.270829, 0.646278, 95.147932, 2.196929, 108.450450, 4.986594, 120.511776, 8.385015, 133.445421, 12.063690, 146.052022, 15.668942, 158.761241, 19.165013, 171.882083, 22.188455, 185.079190, 24.600547, 197.217409, 26.820226, 209.909189, 28.550657, 222.754564, 30.605872, 236.192891, 34.163256, 248.617355, 40.462176, 261.295349, 52.330623, 270.030876, 60.754572, 270.677732, 64.908051, 271.125199
Type00, L, 275, 62.372745, 275.747358, 57.958027, 275.508815, 49.580589, 273.682961, 37.762505, 264.191963, 31.348955, 251.951216, 27.951104, 239.439443, 26.003779, 226.479338, 24.297958, 213.260709, 22.492406, 200.151413, 20.150897, 187.635536, 17.293539, 174.727861, 14.254357, 161.260165, 11.305091, 148.750068, 8.250895, 135.801394, 5.314214, 122.741371, 2.800461, 109.840497, 0.707326, 96.789045, 0.000000, 83.484765, 1.650662, 70.097110, 4.957049, 57.645605, 9.506041, 44.437370, 14.757178, 31.702592, 20.567369, 19.343056, 30.065952, 8.000057, 42.314659, 1.628154, 55.939051, 0.000000, 69.003121, 4.201244, 79.568609, 14.856757, 84.972098, 27.418229, 89.090589, 39.760781, 91.470068, 53.062297, 93.580657, 65.861765, 94.373341, 79.080329, 93.500442, 92.544138, 91.867645, 105.564312, 90.099554, 118.708986, 89.623434, 131.741220, 90.848412, 144.654613, 92.784180, 158.099136, 93.817941, 171.486227, 93.997264, 184.483082, 94.005546, 197.817848, 93.767583, 210.427605, 94.200726, 223.907394, 93.959900, 236.734620, 91.618203, 250.562589, 86.390759, 263.374077, 76.147180, 273.976592, 66.556749, 275.260964, 63.211166, 275.842822
Type01, L, 230, 46.011349, 230.713580, 42.196130, 230.328111, 35.496734, 229.417740, 24.603103, 222.581679, 18.779609, 212.134294, 16.387375, 201.194852, 14.556107, 190.064697, 13.379705, 178.876698, 12.017680, 168.037932, 10.982854, 157.123797, 9.473880, 145.776145, 7.828298, 135.038202, 5.994676, 123.976587, 3.974279, 113.103421, 2.111334, 102.090270, 0.580240, 90.647065, 0.000000, 78.813281, 0.679464, 67.497597, 1.878713, 56.929471, 4.405979, 46.160369, 7.451127, 35.573042, 11.655073, 25.011247, 16.984971, 14.727094, 25.687270, 5.665716, 36.323207, 1.235400, 47.362973, 0.000000, 58.446411, 4.976724, 66.528881, 13.982744, 72.224457, 24.403628, 75.537832, 34.860040, 77.498080, 45.744991, 78.283155, 56.953326, 78.404846, 68.645012, 78.426614, 80.456626, 78.166870, 91.060097, 78.148479, 102.061374, 78.109522, 112.644862, 78.494938, 122.995288, 78.302653, 134.646562, 77.935547, 144.866270, 76.666390, 156.611152, 75.770529, 167.113288, 75.435940, 178.137678, 75.243166, 188.811439, 74.385040, 200.387797, 72.652078, 211.074543, 67.313977, 222.162886, 57.118920, 228.618824, 49.787315, 230.548536, 45.459867, 230.286910
Type01, L, 240, 53.331635, 240.712020, 49.802798, 240.803592, 42.010358, 239.857879, 30.982561, 234.580949, 23.103101, 224.519004, 20.145774, 212.984938, 18.262781, 201.401452, 17.258910, 189.616075, 16.194558, 178.684925, 14.426333, 166.596175, 12.342925, 155.265376, 9.895500, 143.631681, 7.703018, 132.454168, 5.236443, 120.868447, 3.279209, 109.436703, 1.591836, 97.875995, 0.250400, 86.094520, 0.000000, 73.800722, 0.472364, 62.554997, 2.270424, 50.846642, 4.908626, 39.817628, 9.232453, 28.685109, 14.809965, 17.860326, 22.424902, 8.010888, 33.499747, 1.768821, 44.549605, 0.000000, 55.912475, 3.049409, 66.355987, 10.562166, 73.347344, 21.047754, 77.438621, 31.902313, 79.777578, 44.282325, 80.402123, 55.092728, 80.331122, 66.475127, 79.921499, 77.539362, 79.769444, 90.545521, 79.885392, 101.089298, 79.818389, 114.219251, 80.004899, 124.949960, 80.195966, 137.547119, 80.337308, 148.297079, 80.367437, 160.336333, 80.295458, 171.295651, 80.170148, 183.763732, 79.810312, 194.220651, 79.133190, 206.741561, 77.792531, 218.040810, 73.372667, 229.196260, 65.119980, 238.453686, 56.776799, 240.239831, 53.379785, 240.767571
Type01, L, 250, 51.444894, 250.523678, 47.500188, 250.563415, 39.456838, 249.714531, 28.673441, 241.656840, 22.647581, 230.331131, 18.673414, 218.269938, 16.628407, 206.956077, 15.402823, 194.749775, 14.339491, 182.210616, 12.963572, 170.156137, 10.802572, 158.281303, 8.828979, 146.900359, 6.076498, 134.105009, 4.042045, 122.495952, 2.065438, 110.848593, 0.619696, 98.353013, 0.000000, 86.830887, 0.067683, 74.415243, 1.165501, 63.015091, 3.132384, 51.052708, 6.162363, 39.420425, 10.417982, 27.690955, 16.524112, 16.329796, 25.962396, 6.626158, 37.492178, 0.996576, 49.898918, 0.000000, 61.418670, 4.313975, 71.599707, 13.367590, 76.941108, 24.631639, 79.980902, 36.105121, 81.871943, 48.386473, 82.439304, 60.484881, 82.749072, 72.269452, 82.355703, 85.003858, 81.922428, 96.073765, 81.953669, 107.140254, 81.811617, 119.003515, 81.989694, 131.838270, 82.076411, 143.408977, 82.277499, 155.770279, 82.551633, 168.817403, 82.615125, 179.847919, 82.604484, 192.833092, 82.581364, 205.262040, 82.026981, 217.559036, 80.207667, 229.287572, 74.948788, 241.347551, 63.415035, 248.734748, 55.684770, 250.119891, 51.428691, 250.564248
Type01, L, 260, 59.767928, 260.672931, 54.714555, 260.672800, 47.135845, 259.733635, 35.244572, 252.302647, 28.266522, 240.975182, 24.514306, 228.437764, 22.060086, 215.892249, 20.117239, 203.757146, 17.956717, 191.153005, 15.640038, 179.417246, 13.261657, 167.129698, 10.661958, 154.597552, 7.967912, 141.902569, 5.607758, 130.173252, 3.374065, 117.775732, 1.592280, 105.724306, 0.341431, 93.752009, 0.000000, 80.887075, 1.519273, 68.680469, 4.656350, 56.876612, 9.144052, 44.031277, 13.635085, 32.828447, 19.421709, 20.837721, 27.386255, 9.999843, 38.652870, 2.189878, 51.065413, 0.000000, 63.055449, 1.959470, 73.558514, 11.114584, 79.488822, 23.071664, 83.534551, 34.707820, 86.500892, 48.103973, 87.406502, 59.736660, 87.778286, 72.322874, 86.837551, 84.690023, 85.707634, 96.675026, 84.313038, 109.016488, 83.902525, 122.009240, 84.604903, 134.837825, 86.052369, 146.389377, 86.874547, 159.233913, 87.404753, 171.316105, 87.585357, 184.552818, 87.501505, 197.518807, 87.418240, 210.076643, 87.097884, 223.090742, 86.204162, 235.448465, 82.228007, 247.786815, 72.158789, 257.841695, 63.515403, 260.005648, 59.685524, 260.561275
Type01, L, 280, 58.928522, 280.814543, 54.088423, 280.669469, 45.511711, 279.801989, 32.814675, 271.137252, 26.462350, 258.245299, 23.625680, 244.919468, 21.278685, 231.630210, 19.412712, 217.792048, 17.461473, 204.540391, 15.276493, 191.668955, 13.019794, 177.757617, 10.368728, 164.480462, 7.792653, 151.435446, 5.315953, 138.283070, 2.525354, 124.808932, 1.078030, 111.925791, 0.000000, 97.835003, 0.579602, 84.729001, 2.112139, 71.845407, 5.138979, 58.743126, 8.792387, 46.607060, 14.204182, 33.626146, 20.555959, 21.262338, 29.940075, 9.797573, 42.159676, 1.745063, 56.193368, 0.000000, 69.326169, 4.260009, 79.578613, 15.838320, 84.577379, 28.123478, 87.257566, 41.414034, 89.383878, 54.692041, 90.573963, 67.691781, 90.464272, 80.896278, 88.987349, 94.728716, 87.850334, 107.509190, 86.998100, 121.037297, 86.637851, 134.654277, 87.157330, 148.190403, 88.124789, 161.376993, 89.959621, 174.765202, 90.764712, 187.792698, 89.872935, 200.535718, 89.300225, 214.787360, 89.279525, 228.274273, 89.136196, 241.914069, 87.689472, 254.330499, 83.350229, 267.357596, 72.535476, 278.637599, 63.528209, 279.822671, 59.083903, 280.918456
Type01, L, 290, 59.752883, 290.886285, 55.197988, 290.933744, 45.823425, 289.721544, 33.562532, 280.545042, 26.474323, 267.097659, 24.399007, 253.579191, 22.303499, 240.011510, 19.719103, 225.992760, 17.823833, 212.412435, 16.066769, 198.991258, 14.285917, 184.701436, 12.252635, 171.415488, 9.360983, 157.889505, 6.350005, 143.904170, 3.477207, 129.732071, 1.137870, 115.901152, 0.014804, 102.244798, 0.000000, 87.655554, 1.536412, 74.207465, 4.571410, 60.085638, 8.750641, 46.962239, 14.598668, 33.392535, 21.602125, 21.095703, 31.150115, 9.386213, 43.921191, 1.835807, 57.991971, 0.000000, 71.225466, 4.675897, 81.875007, 16.489781, 86.563890, 29.538548, 89.731917, 43.379245, 92.236480, 56.920314, 94.127726, 70.440106, 93.458820, 85.026269, 92.116568, 99.316988, 91.433807, 111.487342, 91.152564, 125.641087, 91.538391, 140.066800, 91.903983, 154.127370, 92.656666, 168.006595, 93.204907, 181.386125, 93.577026, 195.095864, 93.903877, 209.378425, 93.538340, 223.087340, 92.848257, 235.951638, 91.522875, 250.034728, 89.347058, 263.880542, 85.205904, 277.306065, 73.989786, 288.653439, 64.266353, 290.065386, 60.217786, 291.117640
Type02, L, 230, 62.690163, 230.675059, 59.156287, 230.382023, 51.553773, 229.401797, 41.163361, 222.443991, 35.243124, 212.023462, 31.909908, 201.227999, 29.414149, 190.108618, 27.076116, 179.035056, 24.700116, 168.015379, 22.143262, 157.182664, 19.233792, 145.998508, 15.842045, 134.964150, 12.212153, 124.546473, 7.988825, 113.570527, 4.363173, 102.891418, 1.633524, 91.842062, 0.000000, 80.185102, 0.056535, 69.210631, 0.969189, 58.237379, 3.384356, 47.083263, 6.674283, 36.353833, 11.526603, 25.424294, 18.019489, 15.304335, 27.163217, 7.079273, 37.546257, 2.200537, 49.004014, 0.000000, 60.272405, 1.854715, 70.131806, 9.866651, 75.833046, 20.250063, 80.031470, 30.922756, 82.615892, 41.548068, 84.149295, 53.012154, 86.566942, 64.283044, 86.279909, 74.895390, 83.302462, 86.486619, 79.339855, 97.043696, 75.153580, 108.465197, 71.852239, 119.391179, 71.454714, 131.269310, 73.118351, 142.737357, 75.852290, 153.147999, 79.315931, 164.995244, 82.353148, 175.006254, 84.860092, 185.917387, 86.563402, 196.601390, 86.414998, 208.322149, 82.889663, 219.654456, 73.974184, 228.945139, 66.165854, 230.307698, 62.978713, 230.919295
Type02, L, 250, 65.093370, 250.918041, 69.022988, 250.451196, 77.587355, 248.870126, 86.346706, 238.036180, 88.225407, 226.319336, 87.954789, 214.159974, 85.406762, 202.345106, 82.128795, 191.093443, 77.843396, 179.332235, 74.795781, 167.349842, 72.350947, 156.043867, 70.725477, 143.688697, 70.807042, 131.575674, 74.250352, 119.688609, 79.199964, 107.897156, 84.275012, 96.192242, 88.076317, 84.056848, 88.194246, 72.358659, 86.651073, 60.331915, 84.688186, 48.094220, 82.353257, 36.725071, 79.236871, 24.364044, 74.426760, 13.004971, 64.206501, 3.370756, 51.793160, 0.000000, 39.495310, 2.217956, 28.241931, 8.751774, 18.824738, 18.406789, 12.318676, 29.591867, 7.156050, 41.210956, 3.336605, 53.039910, 0.577376, 64.597545, 0.000000, 76.925992, 1.189252, 88.192937, 3.669908, 99.822628, 6.579042, 111.095709, 9.987660, 122.870286, 13.530444, 134.606308, 17.098364, 146.951314, 20.853422, 158.786342, 23.992977, 170.647937, 26.817906, 182.096513, 29.293225, 194.822206, 31.249428, 206.900793, 33.536463, 218.595178, 36.453442, 229.973500, 41.959742, 241.815090, 52.644845, 250.582846, 61.187585, 250.665208, 64.814840, 251.225006
Type02, L, 260, 65.925938, 260.844217, 62.192330, 260.842774, 53.823218, 259.167291, 43.144641, 249.749759, 36.751418, 238.091290, 33.084310, 225.914598, 30.890588, 213.213398, 29.096502, 200.695396, 26.719979, 188.243284, 24.108021, 177.013748, 20.673827, 164.168429, 16.898252, 151.860714, 12.595766, 139.362286, 8.437001, 127.207540, 4.654894, 114.499365, 1.686333, 102.333911, 0.003646, 89.972394, 0.000000, 76.827971, 1.206263, 65.257830, 3.543092, 52.717109, 7.501710, 40.708282, 12.694898, 28.639994, 20.162378, 17.545553, 29.952158, 8.054403, 41.914725, 1.728981, 54.442567, 0.000000, 66.683603, 4.138279, 77.183341, 13.673795, 82.192164, 25.211248, 85.716451, 37.844526, 87.953193, 50.052546, 90.737629, 62.154482, 92.366321, 74.965902, 91.929122, 87.195846, 88.191270, 99.286312, 82.878188, 111.142713, 78.362713, 123.111043, 76.084615, 135.506059, 75.667638, 148.503669, 76.831782, 160.848204, 79.099640, 173.509066, 81.970004, 185.064012, 85.493382, 198.146327, 88.942858, 209.880167, 92.177537, 222.949190, 92.275893, 235.424191, 88.450742, 248.014595, 78.623464, 258.469335, 70.118853, 260.142621, 65.743439, 261.140976
Type02, L, 270, 68.642628, 270.876652, 64.325933, 270.730716, 55.075247, 269.325883, 43.832696, 260.140227, 37.421663, 247.760078, 34.164853, 235.192397, 32.057801, 221.887585, 29.296123, 209.009363, 26.020762, 195.962897, 22.851518, 183.456015, 19.476684, 170.413063, 16.335254, 157.896851, 12.942005, 145.608373, 8.886571, 132.628855, 5.397915, 120.674470, 2.356011, 107.967544, 0.531733, 94.704186, 0.000000, 81.886710, 1.501398, 68.534603, 4.320934, 55.920840, 8.728947, 43.148603, 14.905941, 30.769032, 22.573857, 19.263735, 32.442967, 8.483916, 44.818518, 1.900639, 57.812114, 0.000000, 71.354152, 4.071890, 81.105703, 14.969783, 86.366675, 27.084790, 89.748355, 40.129147, 91.954505, 52.722492, 93.907318, 65.383967, 96.155004, 78.856981, 95.287597, 92.237923, 90.707272, 104.789509, 84.653484, 117.338535, 79.854179, 129.839480, 78.043755, 143.011613, 78.489362, 155.800522, 80.259902, 168.994781, 82.857120, 181.884549, 86.058342, 194.430298, 89.955010, 206.462716, 93.211467, 219.334281, 95.833064, 231.946531, 95.899926, 245.572797, 92.349522, 258.327625, 81.192677, 268.925049, 72.531142, 270.199089, 69.045223, 270.931418
Type03, L, 230, 50.358697, 230.467559, 46.867373, 230.076813, 39.709639, 228.952206, 29.417712, 221.768743, 24.121092, 211.172704, 20.662975, 200.226679, 18.650842, 189.242140, 17.202313, 178.452440, 15.557378, 166.951978, 13.581814, 155.453086, 11.357862, 144.387372, 8.913048, 133.750634, 6.641427, 122.905873, 4.311845, 112.047214, 2.394763, 101.259066, 0.941797, 90.936877, 0.104737, 79.491922, 0.000000, 69.075725, 0.953833, 58.141719, 2.931907, 47.121176, 6.255773, 36.492945, 10.832116, 25.785013, 17.021146, 15.707814, 25.051476, 6.839532, 35.633152, 0.759648, 46.444272, 0.000000, 57.133885, 2.793304, 66.562430, 11.128512, 71.656715, 21.601961, 75.281583, 32.397372, 77.162301, 44.126638, 78.151365, 55.400988, 78.399466, 66.319313, 78.408575, 77.071008, 77.150192, 88.826485, 75.358256, 99.376301, 73.394532, 110.637430, 71.962895, 121.430539, 71.371916, 132.967504, 72.724290, 143.947920, 74.374781, 154.857717, 75.931351, 165.490829, 77.085278, 177.024642, 78.060208, 188.202460, 78.658181, 200.132267, 77.644750, 210.897713, 71.336832, 221.305188, 61.225765, 228.736967, 54.466366, 229.996049, 50.061420, 230.509503
